Original_ID	ORF	GENENAME	COMMON	ENTREZID	Final_ID	Conversion_Method	Status
VPS21	YOR089C	VPS21	VPS21	854256	VPS21	GENENAME_found	SUCCESS
BPL1	YDL141W	BPL1	BPL1	851414	BPL1	GENENAME_found	SUCCESS
MED6	YHR058C	MED6	MED6	856455	MED6	GENENAME_found	SUCCESS
PRP11	YDL043C	PRP11	PRP11	851518	PRP11	GENENAME_found	SUCCESS
PRE2	YPR103W	PRE2	PRE2	856218	PRE2	GENENAME_found	SUCCESS
SML1	YML058W	SML1	SML1	854945	SML1	GENENAME_found	SUCCESS
POP2	YNR052C	POP2	POP2	855788	POP2	GENENAME_found	SUCCESS
PFK1	YGR240C	PFK1	PFK1	853155	PFK1	GENENAME_found	SUCCESS
MDG1	YNL173C	MDG1	MDG1	855548	MDG1	GENENAME_found	SUCCESS
RPS16A;RPS16B	NA	NA	NA	NA	RPS16A;RPS16B	COMPOSITE_SUCCESS	SUCCESS
KRS1	YDR037W	KRS1	KRS1	851607	KRS1	GENENAME_found	SUCCESS
RPP1A	YDL081C	RPP1A	RPP1A	851478	RPP1A	GENENAME_found	SUCCESS
EFT1	YOR133W	EFT1	EFT1	854301	EFT1	GENENAME_found	SUCCESS
SNF7	YLR025W	SNF7	SNF7	850712	SNF7	GENENAME_found	SUCCESS
PXL1	YKR090W	PXL1	PXL1	853965	PXL1	GENENAME_found	SUCCESS
NUP157	YER105C	NUP157	NUP157	856842	NUP157	GENENAME_found	SUCCESS
GPD1	YDL022W	GPD1	GPD1	851539	GPD1	GENENAME_found	SUCCESS
IMD4	YML056C	IMD4	IMD4	854948	IMD4	GENENAME_found	SUCCESS
CDC12	YHR107C	CDC12	CDC12	856507	CDC12	GENENAME_found	SUCCESS
SFA1	YDL168W	SFA1	SFA1	851386	SFA1	GENENAME_found	SUCCESS
BZZ1	YHR114W	BZZ1	BZZ1	856514	BZZ1	GENENAME_found	SUCCESS
SBP1	YHL034C	SBP1	SBP1	856351	SBP1	GENENAME_found	SUCCESS
SRO9	YCL037C	SRO9	SRO9	850320	SRO9	GENENAME_found	SUCCESS
RSA3	YLR221C	RSA3	RSA3	850918	RSA3	GENENAME_found	SUCCESS
EGD2	YHR193C	EGD2	EGD2	856600	EGD2	GENENAME_found	SUCCESS
CCT4	YDL143W	CCT4	CCT4	851412	CCT4	GENENAME_found	SUCCESS
PSE1	YMR308C	PSE1	PSE1	855356	PSE1	GENENAME_found	SUCCESS
CPP1	NA	NA	NA	NA	CPP1	MANUAL_LOOKUP	SUCCESS
YNL208W	YNL208W	NA	NA	855513	YNL208W	ORF_unchanged	SUCCESS
YML079W	YML079W	NA	NA	854896	YML079W	ORF_unchanged	SUCCESS
GPT2	YKR067W	GPT2	GPT2	853941	GPT2	GENENAME_found	SUCCESS
GSP1	YLR293C	GSP1	GSP1	851000	GSP1	GENENAME_found	SUCCESS
GSP2	YOR185C	GSP2	GSP2	854357	GSP2	GENENAME_found	SUCCESS
TOM40	YMR203W	TOM40	TOM40	855243	TOM40	GENENAME_found	SUCCESS
YDL012C	YDL012C	NA	NA	851550	YDL012C	ORF_unchanged	SUCCESS
THS1	YIL078W	THS1	THS1	854732	THS1	GENENAME_found	SUCCESS
YNL134C	YNL134C	NA	NA	855588	YNL134C	ORF_unchanged	SUCCESS
SGT2	YOR007C	SGT2	SGT2	854168	SGT2	GENENAME_found	SUCCESS
PIN3	YPR154W	PIN3	PIN3	856277	PIN3	GENENAME_found	SUCCESS
AAT2	YLR027C	AAT2	AAT2	850714	AAT2	GENENAME_found	SUCCESS
HBN1	YCL026C-B	HBN1	HBN1	850331	HBN1	GENENAME_found	SUCCESS
SCS2	YER120W	SCS2	SCS2	856856	SCS2	GENENAME_found	SUCCESS
SEC62	YPL094C	SEC62	SEC62	856011	SEC62	GENENAME_found	SUCCESS
CAP2	YIL034C	CAP2	CAP2	854777	CAP2	GENENAME_found	SUCCESS
RPS24A;RPS24B	NA	NA	NA	NA	RPS24A;RPS24B	COMPOSITE_SUCCESS	SUCCESS
