GENENAME,ENTREZID,Time,Score
RPB10,854385,T0,0.60957956
GCG1,856910,T0,0.6094814
LRS4,852049,T0,0.6085466
DYN2,852034,T0,0.6083691
GLC8,855359,T0,0.60811925
SSQ1,851084,T0,0.60672176
MRD1,856228,T0,0.606709
PET9,852250,T0,0.6059767
NA,856212,T0,0.6055121
CUZ1,855567,T0,0.6041572
CNB1,853644,T0,0.60277003
RPS21B,853305,T0,0.60264194
TIM8,853600,T0,0.6023009
TOM7,855654,T0,0.6018218
OSH7,856389,T0,0.6017574
NOP6,851313,T0,0.60148144
NAF1,855599,T0,0.6014292
VTC3,856088,T0,0.59926945
EMI1,852125,T0,0.5987213
HMO1,851754,T0,0.5980018
SGM1,853598,T0,0.5974015
CAT5,854292,T0,0.5963721
GSH1,853344,T0,0.59569997
RPB5,852451,T0,0.59543806
MED11,855139,T0,0.5910911
NA,855776,T0,0.590649
CHC1,852666,T0,0.5872242
NA,856609,T0,0.5861175
ECM16,855158,T0,0.58570945
ARD1,856404,T0,0.58526725
SRP14,851466,T0,0.5850435
CDC3,851024,T0,0.58423907
MRPL40,855930,T0,0.5804034
END3,855640,T0,0.580158
SWA2,851918,T0,0.5758143
DNF2,851667,T0,0.574886
UBC4,852376,T0,0.57472086
PAP1,853871,T0,0.57235354
TRX3,850444,T0,0.5717444
RFS1,852341,T0,0.57171315
ADE12,855501,T0,0.5716481
RPL21B,856026,T0,0.5713292
RPN2,854735,T0,0.5690305
CAJ1,856772,T0,0.5681461
TOM20,852973,T0,0.56439286
PHO86,853325,T0,0.56421804
VAS1,852986,T0,0.56235427
GTS1,852694,T0,0.56221193
AKL1,852351,T0,0.5618335
RRP42,851447,T0,0.5610306
REB1,852338,T0,0.56039935
HOM3,856778,T0,0.5586658
MCM5,850980,T0,0.5580052
MED7,853985,T0,0.5575718
CCT5,853527,T0,0.5575099
YAT2,856745,T0,0.55684066
MRH1,851597,T0,0.5563167
TRS31,852083,T0,0.55595005
NA,851078,T0,0.5556734
CAR2,851158,T0,0.5555997
RPS1B,854939,T0,0.55497193
EUG1,852130,T0,0.5549471
ECM1,851240,T0,0.5540818
RPN1,856422,T0,0.5534343
UBX2,854995,T0,0.55228186
MTD1,853955,T0,0.5515574
PDC1,850733,T0,0.55026305
RPP2A,854118,T0,0.5500978
MSH6,851671,T0,0.5497297
RSC2,851071,T0,0.54895175
TFB6,854534,T0,0.5486682
AIP1,855117,T0,0.5483488
GEA2,856691,T0,0.54626006
ERP1,851264,T0,0.5451861
ARG7,855084,T0,0.54471266
YPP1,853112,T0,0.54453635
SUM1,851905,T0,0.54383314
SEN1,851150,T0,0.5429338
DSE4,855804,T0,0.54196984
YPT10,852567,T0,0.541535
RPL27A,856401,T0,0.5412016
SEC26,851824,T0,0.5393708
SAR1,855883,T0,0.5386054
MGM1,854386,T0,0.5370401
PTC2,856823,T0,0.53699577
UBA2,851998,T0,0.5363622
FRQ1,851979,T0,0.5362904
YTA12,855114,T0,0.53618705
TRM732,855301,T0,0.52963066
MSC3,850916,T0,0.5292648
BMH2,851676,T0,0.5282768
GRR1,853552,T0,0.52782106
HSP31,852146,T0,0.525926
UBP1,851435,T0,0.52541095
COX5B,854695,T0,0.52406377
EXO84,852398,T0,0.5203473
MRPL33,855330,T0,0.51873887
GLC3,856705,T0,0.51763964
RRP15,856264,T0,0.5148725
RPL6B,851169,T0,0.5146758
GNA1,850529,T0,0.51422125
KRE9,853265,T0,0.513687
PTC1,851558,T0,0.5129597
APE4,856513,T0,0.5118388
PEP1,852264,T0,0.51038665
MRP8,853715,T0,0.50934577
ELP2,853114,T0,0.5074699
NA,853888,T0,0.5072823
NA,2746859,T0,0.50701237
PTH2,852223,T0,0.5065391
ENT1,851392,T0,0.5062032
GDH2,851311,T0,0.50595707
MTC4,852557,T0,0.5059364
PCM1,856652,T0,0.50453365
PNP1,850906,T0,0.50343406
NA,854896,T0,0.50311375
PCS60,852523,T0,0.50269693
ERO1,854909,T0,0.5024155
NA,855695,T0,0.5018332
SMY1,853783,T0,0.50085455
NIC96,850552,T0,0.50059885
SET5,856614,T0,0.5002722
RIM20,854449,T0,0.50005835
SET2,853271,T0,0.49939406
SGF11,856060,T0,0.49905813
MIC10,850300,T0,0.49788892
PAN6,854661,T0,0.497823
COY1,853675,T0,0.4977681
UGP1,853830,T0,0.49732268
ATP11,855401,T0,0.49641854
RRP43,850401,T0,0.49586833
MRP7,855727,T0,0.49536502
ATG33,851070,T0,0.49444437
VTC2,850544,T0,0.49403396
STE11,851076,T0,0.49333215
BUD21,854245,T0,0.49313402
IDP1,851493,T0,0.4928173
DAM1,853010,T0,0.492601
PPZ1,854992,T0,0.4914886
NA,852844,T0,0.49147612
UTR1,853508,T0,0.49096507
DNF3,855197,T0,0.49091542
GTR1,854918,T0,0.4904033
SCL1,852873,T0,0.48990902
ARP7,856146,T0,0.48882106
OSH2,851543,T0,0.48828918
RHO3,854688,T0,0.48697475
